datetime_AEST,datetime_local,location_id,location_name,BPM2.5
2020-12-08 02:00:00,2020-12-08 03:00:00,10239,Melbourne CBD,0.35
2020-12-08 03:00:00,2020-12-08 04:00:00,10239,Melbourne CBD,0.633
2020-12-08 04:00:00,2020-12-08 05:00:00,10239,Melbourne CBD,-3.4
2020-12-08 05:00:00,2020-12-08 06:00:00,10239,Melbourne CBD,8.133
2020-12-08 06:00:00,2020-12-08 07:00:00,10239,Melbourne CBD,7.933
2020-12-08 07:00:00,2020-12-08 08:00:00,10239,Melbourne CBD,8.983
2020-12-08 08:00:00,2020-12-08 09:00:00,10239,Melbourne CBD,8.067
2020-12-08 09:00:00,2020-12-08 10:00:00,10239,Melbourne CBD,7.55
2020-12-08 10:00:00,2020-12-08 11:00:00,10239,Melbourne CBD,15.017
2020-12-08 11:00:00,2020-12-08 12:00:00,10239,Melbourne CBD,7.2
2020-12-08 12:00:00,2020-12-08 13:00:00,10239,Melbourne CBD,2.883
2020-12-08 13:00:00,2020-12-08 14:00:00,10239,Melbourne CBD,-4.233
2020-12-08 14:00:00,2020-12-08 15:00:00,10239,Melbourne CBD,3.317
2020-12-08 15:00:00,2020-12-08 16:00:00,10239,Melbourne CBD,6.383
2020-12-08 16:00:00,2020-12-08 17:00:00,10239,Melbourne CBD,5.983
2020-12-08 17:00:00,2020-12-08 18:00:00,10239,Melbourne CBD,7.617
2020-12-08 18:00:00,2020-12-08 19:00:00,10239,Melbourne CBD,8.25
2020-12-08 19:00:00,2020-12-08 20:00:00,10239,Melbourne CBD,3.5
2020-12-08 20:00:00,2020-12-08 21:00:00,10239,Melbourne CBD,4.417
2020-12-08 21:00:00,2020-12-08 22:00:00,10239,Melbourne CBD,1.583
2020-12-08 22:00:00,2020-12-08 23:00:00,10239,Melbourne CBD,5.25
2020-12-08 23:00:00,2020-12-09 00:00:00,10239,Melbourne CBD,3.4
2020-12-09 00:00:00,2020-12-09 01:00:00,10239,Melbourne CBD,-1.433
2020-12-09 01:00:00,2020-12-09 02:00:00,10239,Melbourne CBD,1.95
2020-12-09 02:00:00,2020-12-09 03:00:00,10239,Melbourne CBD,-0.433
2020-12-09 03:00:00,2020-12-09 04:00:00,10239,Melbourne CBD,4.117
2020-12-09 04:00:00,2020-12-09 05:00:00,10239,Melbourne CBD,5.483
2020-12-09 05:00:00,2020-12-09 06:00:00,10239,Melbourne CBD,9.6
2020-12-09 06:00:00,2020-12-09 07:00:00,10239,Melbourne CBD,-1.4
2020-12-09 07:00:00,2020-12-09 08:00:00,10239,Melbourne CBD,4.367
2020-12-09 08:00:00,2020-12-09 09:00:00,10239,Melbourne CBD,8.483
2020-12-09 09:00:00,2020-12-09 10:00:00,10239,Melbourne CBD,7.483
2020-12-09 10:00:00,2020-12-09 11:00:00,10239,Melbourne CBD,5.65
2020-12-09 11:00:00,2020-12-09 12:00:00,10239,Melbourne CBD,7.017
2020-12-09 12:00:00,2020-12-09 13:00:00,10239,Melbourne CBD,8.683
2020-12-09 13:00:00,2020-12-09 14:00:00,10239,Melbourne CBD,12.767
2020-12-09 14:00:00,2020-12-09 15:00:00,10239,Melbourne CBD,6.267
2020-12-09 15:00:00,2020-12-09 16:00:00,10239,Melbourne CBD,4.017
2020-12-09 16:00:00,2020-12-09 17:00:00,10239,Melbourne CBD,4.65
2020-12-09 17:00:00,2020-12-09 18:00:00,10239,Melbourne CBD,5.217
2020-12-09 18:00:00,2020-12-09 19:00:00,10239,Melbourne CBD,3.3
2020-12-09 19:00:00,2020-12-09 20:00:00,10239,Melbourne CBD,2.667
2020-12-09 20:00:00,2020-12-09 21:00:00,10239,Melbourne CBD,-3.9
2020-12-09 21:00:00,2020-12-09 22:00:00,10239,Melbourne CBD,0.117
