datetime_AEST,datetime_local,location_id,location_name,BPM2.5,BSP,CO,SO2,DBT
2020-01-01 16:00:00,2020-01-01 17:00:00,10017,Morwell East,5.779,8.899,0.061,-0.531,24.194
2020-01-01 17:00:00,2020-01-01 18:00:00,10017,Morwell East,4.654,9.234,0.063,-0.522,22.966
2020-01-01 18:00:00,2020-01-01 19:00:00,10017,Morwell East,3.357,9.55,0.066,-0.437,21.658
2020-01-01 19:00:00,2020-01-01 20:00:00,10017,Morwell East,3.086,8.895,0.066,-0.427,19.731
2020-01-01 20:00:00,2020-01-01 21:00:00,10017,Morwell East,3.926,8.968,0.067,-0.44,18.168
2020-01-01 21:00:00,2020-01-01 22:00:00,10017,Morwell East,3.379,10.534,0.073,-0.318,16.789
2020-01-01 22:00:00,2020-01-01 23:00:00,10017,Morwell East,2.106,12.585,0.098,-0.001,15.125
2020-01-01 23:00:00,2020-01-02 00:00:00,10017,Morwell East,1.39,13.306,0.075,0.216,13.68
2020-01-02 00:00:00,2020-01-02 01:00:00,10017,Morwell East,0.168,,,,12.579
2020-01-02 01:00:00,2020-01-02 02:00:00,10017,Morwell East,1.648,11.829,0.074,0.334,10.901
2020-01-02 02:00:00,2020-01-02 03:00:00,10017,Morwell East,3.205,11.365,0.105,0.302,9.862
2020-01-02 03:00:00,2020-01-02 04:00:00,10017,Morwell East,3.243,11.702,0.103,0.292,9.251
2020-01-02 04:00:00,2020-01-02 05:00:00,10017,Morwell East,3.66,13.385,0.09,0.364,8.696
2020-01-02 05:00:00,2020-01-02 06:00:00,10017,Morwell East,4.192,20.668,0.096,0.52,8.876
2020-01-02 06:00:00,2020-01-02 07:00:00,10017,Morwell East,1.547,14.511,0.085,0.321,13.252
2020-01-02 07:00:00,2020-01-02 08:00:00,10017,Morwell East,-0.922,14.34,0.088,0.198,17.452
2020-01-02 08:00:00,2020-01-02 09:00:00,10017,Morwell East,2.519,13.194,0.086,0.46,20.713
2020-01-02 09:00:00,2020-01-02 10:00:00,10017,Morwell East,4.601,15.119,0.075,0.322,22.87
2020-01-02 10:00:00,2020-01-02 11:00:00,10017,Morwell East,3.957,18.244,0.08,1.182,24.455
2020-01-02 11:00:00,2020-01-02 12:00:00,10017,Morwell East,4.711,20.494,0.083,0.038,25.404
2020-01-02 12:00:00,2020-01-02 13:00:00,10017,Morwell East,6.469,25.909,0.093,-0.114,26.151
2020-01-02 13:00:00,2020-01-02 14:00:00,10017,Morwell East,7.993,28.931,0.09,-0.076,26.986
2020-01-02 14:00:00,2020-01-02 15:00:00,10017,Morwell East,8.926,37.639,0.093,-0.101,27.448
2020-01-02 15:00:00,2020-01-02 16:00:00,10017,Morwell East,6.515,31.616,0.095,-0.133,27.54
2020-01-02 16:00:00,2020-01-02 17:00:00,10017,Morwell East,4.009,26.393,0.094,-0.279,27.065
2020-01-02 17:00:00,2020-01-02 18:00:00,10017,Morwell East,4.282,22.003,0.093,-0.057,25.02
2020-01-02 18:00:00,2020-01-02 19:00:00,10017,Morwell East,1.838,21.54,0.102,-0.019,21.985
2020-01-02 19:00:00,2020-01-02 20:00:00,10017,Morwell East,2.443,18.258,0.127,0.148,19.954
2020-01-02 20:00:00,2020-01-02 21:00:00,10017,Morwell East,6.921,16.779,0.129,0.168,18.014
2020-01-02 21:00:00,2020-01-02 22:00:00,10017,Morwell East,9.067,14.57,0.13,0.133,16.699
2020-01-02 22:00:00,2020-01-02 23:00:00,10017,Morwell East,5.867,15.79,0.144,0.062,15.552
2020-01-02 23:00:00,2020-01-03 00:00:00,10017,Morwell East,2.781,17.395,0.107,0.102,14.417
2020-01-03 00:00:00,2020-01-03 01:00:00,10017,Morwell East,0.969,,,,13.396
